pool,dataset,model,seed,nl,wss95
RQ1,Greca_2023,C1_TFIDF_SVM,42,0.456,0.0446
RQ1,Greca_2023,C1_TFIDF_SVM,43,0.456,0.0446
RQ1,Greca_2023,C1_TFIDF_SVM,44,0.456,0.0446
RQ1,Greca_2023,C1_TFIDF_SVM,45,0.456,0.0446
RQ1,Greca_2023,C1_TFIDF_SVM,46,0.456,0.0446
RQ1,Pijls_2018,C1_TFIDF_SVM,42,0.2969,0.2418
RQ1,Pijls_2018,C1_TFIDF_SVM,43,0.2969,0.2418
RQ1,Pijls_2018,C1_TFIDF_SVM,44,0.2969,0.2418
RQ1,Pijls_2018,C1_TFIDF_SVM,45,0.2969,0.2418
RQ1,Pijls_2018,C1_TFIDF_SVM,46,0.2969,0.2418
RQ1,Tumkaya_2018,C1_TFIDF_SVM,42,0.578,0.0
RQ1,Tumkaya_2018,C1_TFIDF_SVM,43,0.578,0.0
RQ1,Tumkaya_2018,C1_TFIDF_SVM,44,0.578,0.0
RQ1,Tumkaya_2018,C1_TFIDF_SVM,45,0.578,0.0
RQ1,Tumkaya_2018,C1_TFIDF_SVM,46,0.578,0.0
RQ1,Rinne_2021,C1_TFIDF_SVM,42,0.3362,0.1381
RQ1,Rinne_2021,C1_TFIDF_SVM,43,0.3362,0.1381
RQ1,Rinne_2021,C1_TFIDF_SVM,44,0.3362,0.1381
RQ1,Rinne_2021,C1_TFIDF_SVM,45,0.3362,0.1381
RQ1,Rinne_2021,C1_TFIDF_SVM,46,0.3362,0.1381
RQ1,Pinos-Cisneros_2023,C1_TFIDF_SVM,42,0.4246,0.1079
RQ1,Pinos-Cisneros_2023,C1_TFIDF_SVM,43,0.4246,0.1079
RQ1,Pinos-Cisneros_2023,C1_TFIDF_SVM,44,0.4246,0.1079
RQ1,Pinos-Cisneros_2023,C1_TFIDF_SVM,45,0.4246,0.1079
RQ1,Pinos-Cisneros_2023,C1_TFIDF_SVM,46,0.4246,0.1079
RQ1,Abgaz_2023,C1_TFIDF_SVM,42,0.3348,0.1205
RQ1,Abgaz_2023,C1_TFIDF_SVM,43,0.3348,0.1205
RQ1,Abgaz_2023,C1_TFIDF_SVM,44,0.3348,0.1205
RQ1,Abgaz_2023,C1_TFIDF_SVM,45,0.3348,0.1205
RQ1,Abgaz_2023,C1_TFIDF_SVM,46,0.3348,0.1205
RQ1,Erer_2015,C1_TFIDF_SVM,42,0.3432,0.6057
RQ1,Erer_2015,C1_TFIDF_SVM,43,0.3432,0.6057
RQ1,Erer_2015,C1_TFIDF_SVM,44,0.3432,0.6057
RQ1,Erer_2015,C1_TFIDF_SVM,45,0.3432,0.6057
RQ1,Erer_2015,C1_TFIDF_SVM,46,0.3432,0.6057
RQ1,Demirkaya_2015,C1_TFIDF_SVM,42,0.0426,0.7601
RQ1,Demirkaya_2015,C1_TFIDF_SVM,43,0.0426,0.7601
RQ1,Demirkaya_2015,C1_TFIDF_SVM,44,0.0426,0.7601
RQ1,Demirkaya_2015,C1_TFIDF_SVM,45,0.0426,0.7601
RQ1,Demirkaya_2015,C1_TFIDF_SVM,46,0.0426,0.7601
RQ1,Leenaars_2020,C1_TFIDF_SVM,42,0.2068,0.3721
RQ1,Leenaars_2020,C1_TFIDF_SVM,43,0.2068,0.3721
RQ1,Leenaars_2020,C1_TFIDF_SVM,44,0.2068,0.3721
RQ1,Leenaars_2020,C1_TFIDF_SVM,45,0.2068,0.3721
RQ1,Leenaars_2020,C1_TFIDF_SVM,46,0.2068,0.3721
RQ1,Eggmann_2023,C1_TFIDF_SVM,42,0.3618,0.0502
RQ1,Eggmann_2023,C1_TFIDF_SVM,43,0.3618,0.0502
RQ1,Eggmann_2023,C1_TFIDF_SVM,44,0.3618,0.0502
RQ1,Eggmann_2023,C1_TFIDF_SVM,45,0.3618,0.0502
RQ1,Eggmann_2023,C1_TFIDF_SVM,46,0.3618,0.0502
RQ1,Greca_2023,C2b_SciBERT_LR,42,0.3433,0.2002
RQ1,Greca_2023,C2b_SciBERT_LR,43,0.3433,0.2002
RQ1,Greca_2023,C2b_SciBERT_LR,44,0.3433,0.2002
RQ1,Greca_2023,C2b_SciBERT_LR,45,0.3433,0.2002
RQ1,Greca_2023,C2b_SciBERT_LR,46,0.3433,0.2002
RQ1,Pijls_2018,C2b_SciBERT_LR,42,0.3066,0.2787
RQ1,Pijls_2018,C2b_SciBERT_LR,43,0.3066,0.2787
RQ1,Pijls_2018,C2b_SciBERT_LR,44,0.3066,0.2787
RQ1,Pijls_2018,C2b_SciBERT_LR,45,0.3066,0.2787
RQ1,Pijls_2018,C2b_SciBERT_LR,46,0.3066,0.2787
RQ1,Tumkaya_2018,C2b_SciBERT_LR,42,0.3472,0.2537
RQ1,Tumkaya_2018,C2b_SciBERT_LR,43,0.3472,0.2537
RQ1,Tumkaya_2018,C2b_SciBERT_LR,44,0.3472,0.2537
RQ1,Tumkaya_2018,C2b_SciBERT_LR,45,0.3472,0.2537
RQ1,Tumkaya_2018,C2b_SciBERT_LR,46,0.3472,0.2537
RQ1,Rinne_2021,C2b_SciBERT_LR,42,0.329,0.2101
RQ1,Rinne_2021,C2b_SciBERT_LR,43,0.329,0.2101
RQ1,Rinne_2021,C2b_SciBERT_LR,44,0.329,0.2101
RQ1,Rinne_2021,C2b_SciBERT_LR,45,0.329,0.2101
RQ1,Rinne_2021,C2b_SciBERT_LR,46,0.329,0.2101
RQ1,Pinos-Cisneros_2023,C2b_SciBERT_LR,42,0.3272,0.1254
RQ1,Pinos-Cisneros_2023,C2b_SciBERT_LR,43,0.3272,0.1254
RQ1,Pinos-Cisneros_2023,C2b_SciBERT_LR,44,0.3272,0.1254
RQ1,Pinos-Cisneros_2023,C2b_SciBERT_LR,45,0.3272,0.1254
RQ1,Pinos-Cisneros_2023,C2b_SciBERT_LR,46,0.3272,0.1254
RQ1,Abgaz_2023,C2b_SciBERT_LR,42,0.2415,0.2815
RQ1,Abgaz_2023,C2b_SciBERT_LR,43,0.2415,0.2815
RQ1,Abgaz_2023,C2b_SciBERT_LR,44,0.2415,0.2815
RQ1,Abgaz_2023,C2b_SciBERT_LR,45,0.2415,0.2815
RQ1,Abgaz_2023,C2b_SciBERT_LR,46,0.2415,0.2815
RQ1,Erer_2015,C2b_SciBERT_LR,42,0.3115,0.4432
RQ1,Erer_2015,C2b_SciBERT_LR,43,0.3115,0.4432
RQ1,Erer_2015,C2b_SciBERT_LR,44,0.3115,0.4432
RQ1,Erer_2015,C2b_SciBERT_LR,45,0.3115,0.4432
RQ1,Erer_2015,C2b_SciBERT_LR,46,0.3115,0.4432
RQ1,Demirkaya_2015,C2b_SciBERT_LR,42,0.0362,0.8231
RQ1,Demirkaya_2015,C2b_SciBERT_LR,43,0.0362,0.8231
RQ1,Demirkaya_2015,C2b_SciBERT_LR,44,0.0362,0.8231
RQ1,Demirkaya_2015,C2b_SciBERT_LR,45,0.0362,0.8231
RQ1,Demirkaya_2015,C2b_SciBERT_LR,46,0.0362,0.8231
RQ1,Leenaars_2020,C2b_SciBERT_LR,42,0.204,0.4657
RQ1,Leenaars_2020,C2b_SciBERT_LR,43,0.204,0.4657
RQ1,Leenaars_2020,C2b_SciBERT_LR,44,0.204,0.4657
RQ1,Leenaars_2020,C2b_SciBERT_LR,45,0.204,0.4657
RQ1,Leenaars_2020,C2b_SciBERT_LR,46,0.204,0.4657
RQ1,Eggmann_2023,C2b_SciBERT_LR,42,0.4667,0.0333
RQ1,Eggmann_2023,C2b_SciBERT_LR,43,0.4667,0.0333
RQ1,Eggmann_2023,C2b_SciBERT_LR,44,0.4667,0.0333
RQ1,Eggmann_2023,C2b_SciBERT_LR,45,0.4667,0.0333
RQ1,Eggmann_2023,C2b_SciBERT_LR,46,0.4667,0.0333
RQ1,Greca_2023,C2a_SciBERT_SVM,42,0.3615,0.214
RQ1,Greca_2023,C2a_SciBERT_SVM,43,0.3615,0.214
RQ1,Greca_2023,C2a_SciBERT_SVM,44,0.3615,0.214
RQ1,Greca_2023,C2a_SciBERT_SVM,45,0.3615,0.214
RQ1,Greca_2023,C2a_SciBERT_SVM,46,0.3615,0.214
RQ1,Pijls_2018,C2a_SciBERT_SVM,42,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,43,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,44,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,45,0.3068,0.2647
RQ1,Pijls_2018,C2a_SciBERT_SVM,46,0.3068,0.2647
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,42,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,43,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,44,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,45,0.2938,0.2024
RQ1,Tumkaya_2018,C2a_SciBERT_SVM,46,0.2938,0.2024
RQ1,Rinne_2021,C2a_SciBERT_SVM,42,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,43,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,44,0.3484,0.1489
RQ1,Rinne_2021,C2a_SciBERT_SVM,45,0.3484,0.1489
